serialno,nr,age_from_folder,img_0deg,img_180deg,weight,length,age,sex,stage,liverweight,gonadweight,spawningage,spawningzones,readability,otolithedge,otolithtype_2,otolithtype_4,otolithtype_5
70025,Nr01,4,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_0deg.png,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_180deg.png,-0.9121141169422644,-1.0294874440128283,4.0,1.0,1.0,-0.7387571533245674,-0.6100373812334584,-1.0830242720509198,-0.536423705272512,-0.4386417519090147,4.0,0.0,0.0,1.0
70025,Nr01,4,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_0deg.png,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_180deg.png,-0.5238829169508513,-0.2430679739351782,6.0,1.0,1.0,-0.14673450654681,-0.5835476306681863,-0.191298406321342,-0.536423705272512,2.567644400025545,4.0,0.0,0.0,1.0
70025,Nr01,4,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_0deg.png,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_180deg.png,-0.6675788805840366,-0.4396728414545908,7.0,2.0,1.0,-0.4535760892512428,-0.6129811547859425,0.0176998434590278,-0.536423705272512,2.567644400025545,4.0,0.0,0.0,1.0
70025,Nr01,4,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_0deg.png,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_180deg.png,-0.7482502987640705,-0.5969567354701208,6.0,2.0,1.0,-0.5807015785097994,-0.6129811547859425,-0.191298406321342,-0.536423705272512,2.567644400025545,4.0,0.0,0.0,1.0
70025,Nr01,4,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_0deg.png,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_180deg.png,-0.8364846623984825,-0.8918640367492398,4.0,2.0,1.0,-0.7263662016185622,-0.6129811547859425,-1.0830242720509198,-0.536423705272512,-0.4386417519090147,4.0,0.0,0.0,1.0
70025,Nr01,4,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_0deg.png,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_180deg.png,-0.4961521169514647,-0.1251050534235306,6.0,2.0,1.0,-0.4040122824272222,-0.6115085661085196,-0.191298406321342,-0.536423705272512,-0.4386417519090147,4.0,0.0,0.0,1.0
70025,Nr01,4,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_0deg.png,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_180deg.png,-0.9322819714872728,-1.1867713380283589,3.0,2.0,1.0,-0.7305689912283059,-0.3362987283067527,-1.5288872049157087,-0.536423705272512,-0.4386417519090147,4.0,0.0,0.0,1.0
70025,Nr01,4,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_0deg.png,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_180deg.png,-0.3574981169545315,0.0714998140958819,7.0,1.0,1.0,-0.5124094630003665,-0.5820652153742314,0.1552903578977712,-0.536423705272512,1.9663871696386332,4.0,0.0,0.0,1.0
70025,Nr01,4,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_0deg.png,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_180deg.png,-0.1064083278691761,0.2681046816152945,8.0,2.0,2.0,0.4820826456785504,-0.3567830123686738,0.7004274594082358,-0.536423705272512,-0.4386417519090147,4.0,0.0,0.0,1.0
70025,Nr01,4,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_0deg.png,/content/drive/MyDrive/unet_deeplab_fcn/70025/Nr01_age04/image_180deg.png,-0.999340087849426,-1.4030366922997124,3.0,2.0,1.0,-0.7521945707083317,-0.3362987283067527,-1.5288872049157087,-0.536423705272512,-0.4386417519090147,4.0,0.0,0.0,1.0
